gene,correlation,rmse,n_samples
ESRRG,0.9335887412772224,3.521287890507375,10
CEBPA-DT,0.9222112970560841,3.423545595594948,10
AL359636.2,0.9138740422121769,0.48474954054356206,10
AL357079.2,0.9028957829849324,0.19548053433071055,10
AC010931.1,0.8893896722122158,1.3931785125548866,10
SGO1-AS1,0.8792068272977354,0.040387459275570955,10
ZNF426-DT,0.874458135440566,2.5554426030942836,10
MDH1B,0.8586283650660413,3.414337866108536,10
PIK3CA,0.8450471956164479,14.54474848872635,10
PC,0.8414237757580013,18.828622737249805,10
NIFK-AS1,0.8400592117658346,2.19769509959055,10
SMC1A,0.836873588320518,51.589522689867536,10
NFATC2IP,0.8313251461569947,25.252567638475135,10
MAEA,0.8304910791351285,19.991034991444206,10
ZNF85,0.8287653454332722,4.4430601244650365,10
AC093627.7,0.8281040802838245,0.17109318850586686,10
CHRM4,0.8245194565577625,0.7835719204492105,10
CLTB,0.8187686304160601,111.50460962764552,10
ACTR1B,0.8153152867376897,74.23611496865865,10
ZNF727,0.8131439115173139,4.292877528308721,10
TMEM92-AS1,0.8123627169010909,1.0506145415487427,10
INCA1,0.811187207680093,11.862351601696659,10
AIFM3,0.8101764551755947,0.5619064325341347,10
IDI1,0.8065143552988171,49.176549817413076,10
AC126773.6,0.8051246430967378,0.09302843140848181,10
AC021086.1,0.8042971521083281,0.15560435916279866,10
AC011815.2,0.8039812144614104,0.10724567531764538,10
C1orf109,0.8036139189396077,13.5436554634848,10
RAD52,0.8018771401110649,5.858283553705386,10
OPRD1,0.8009128439042369,2.195225306248418,10
ACO2,0.7950355392266794,28.112855071194282,10
TCEANC2,0.793373558029544,4.060692039500167,10
AL592166.1,0.7933088703245016,0.19466445767145443,10
TMCC1-AS1,0.7928663656080845,0.5375408028438854,10
BCAR3-AS1,0.7928399903066047,0.2618002589738592,10
ZNF229,0.79194265615641,3.6841065980274745,10
AC004943.1,0.7908075934202545,0.6832536507677095,10
TTC27,0.7888645660156799,25.18111751852608,10
AC023043.1,0.7882504873752156,1.904034535558089,10
LINC00222,0.7882364886115591,0.13297234991222948,10
CATSPER1,0.7875454070089225,0.472886042067577,10
ZDHHC5,0.7861660123641648,105.5988824181765,10
AGBL4,0.7843156848382904,0.18878222012039242,10
LINC01511,0.7779537085547876,7.080439008359116,10
GOLPH3,0.777277021934966,222.24944693715705,10
AC008870.4,0.7747347532621393,0.17724023866801236,10
SH3YL1,0.7743219005471252,17.48172111333353,10
HMGCS1,0.7718581211114127,48.51849776520805,10
NKD2,0.7717307905160997,14.683343785632202,10
DROSHA,0.7708393882321959,33.00376572245049,10
PHETA1,0.7674661399964836,16.108502615387785,10
SLC15A4,0.7650052676645748,18.649051930583077,10
NLGN1,0.7643946270305957,0.3863392783376032,10
RBM42,0.7643910336921188,110.48989945532941,10
CLCF1,0.7636192961144204,11.460301153368667,10
TWF2,0.7635542952681378,26.72917451018479,10
KRBOX1,0.7611018456480345,0.13629499780764967,10
LYNX1,0.7605434257460345,16.71104580394735,10
AC010883.2,0.7585299901557713,0.08795994875631045,10
RBSN,0.7583152109901802,19.699596175566224,10
ELOVL3,0.7577247807260926,3.76896778693039,10
MTHFSD,0.7567091869355609,6.1366671472142515,10
TH,0.7566135417317318,6.576690261697238,10
AL021937.1,0.7562319646838536,0.19222367654869024,10
ST6GALNAC4,0.7517191186362727,21.438150515033065,10
IFI27L2,0.7506042912026483,31.01352167070611,10
THUMPD3,0.7504090691147711,32.19377070322059,10
ADARB2,0.7478262648590315,0.21953197627868057,10
SLC7A6OS,0.7473945485277396,2.5225275221547405,10
LRRC41,0.7465796635523112,43.28375177389565,10
ADGRB1,0.7464268055284021,4.416755842070843,10
FLJ31104,0.7439614201791871,0.2135728016657778,10
DCUN1D2,0.7397952113074032,11.51370986033881,10
AC131159.1,0.7382667883353122,0.7888492295928955,10
MTMR12,0.7380592951703973,50.89093967819899,10
ZNF131,0.7368177403747794,13.814354680878436,10
AC011451.4,0.7349513286179007,0.4078503512771918,10
RCAN3,0.7348625982934839,26.82913704346652,10
ELF3,0.7331252812474224,89.76216915853037,10
TSPEAR-AS2,0.7326710453622083,0.19359784144303552,10
TMCC1,0.7300494440252163,30.451539426667175,10
C5orf51,0.7293340953549943,30.719644119158037,10
AC005479.1,0.7283600791670013,0.593418702036834,10
ELOA-AS1,0.7283047842680562,0.46724195973244204,10
SOAT2,0.7280407122666555,0.37233671606466484,10
C18orf25,0.7275538290330269,12.667203910819932,10
DRC1,0.7274352843737236,2.670927377466898,10
AL109615.2,0.7270450925937268,0.489974314973158,10
LINC01091,0.7261674849960357,0.15955495379174323,10
RASGRP3-AS1,0.7256524438414589,0.8677497528073457,10
IFITM3,0.725513442967182,1330.1069388584804,10
NUP133,0.7242103827332304,55.45331958602668,10
PRSS36,0.7236076824875058,2.600347356414608,10
LINC00958,0.7231290049825673,0.7740992060900608,10
AVL9,0.7218517352825066,24.68295919830179,10
AC026191.1,0.7218300764226452,0.20141414693476814,10
TEX12,0.7218227998887621,0.09189982291084872,10
GMCL1,0.7216876490229103,24.44203103763097,10
MAN1B1-DT,0.7205370661484529,4.124767042983228,10
ZNF594,0.7198250449148023,5.322943851544683,10
PDLIM7,0.7191743417704407,49.40237277742236,10
TIMP1,0.7168322084812414,606.0814833379443,10
CDC14A,0.7167009703402093,2.589907429201353,10
RPL36,0.7160594295044088,671.0826982265917,10
AL391987.2,0.714984149376875,0.2125189705761527,10
MED20,0.7148920981728699,32.883943061902734,10
WASHC5,0.7142457458603164,103.72424341830893,10
CNDP1,0.7140762903990564,0.047059230831609816,10
AC123912.1,0.7140641603285725,1.4420034649274125,10
PFKFB2,0.7138271326234839,23.084921499315588,10
KIAA0753,0.7130355869259685,12.45081746270694,10
KCTD17,0.7128488765201335,17.969821969384302,10
IRGQ,0.7124701518125883,11.599053366264924,10
ADNP2,0.7123439514624447,22.53093021546739,10
AL022069.1,0.7122298094645744,0.12428141575789961,10
NXF3,0.7111869802411522,0.15685216857894593,10
RPS18,0.7076881821461778,3534.0698871956315,10
TRMT61B,0.7075196221358868,13.478433938331726,10
ZNF730,0.7055652639465297,0.943294745781454,10
RTTN,0.7055171390685452,1.8878844019192167,10
PTH2R,0.7048420761156218,0.24855675551152004,10
NRARP,0.703576211690248,27.903189542188162,10
MBD3,0.7031285219152472,17.324453714296894,10
LINC01465,0.7027640989993263,0.4388858153120657,10
FARSB,0.7025134664623583,27.276618144594412,10
MBIP,0.7006144965888109,13.885286997173269,10
CDH26,0.7005672530637125,1.8875444289361676,10
FGF14,0.7002567075123305,0.4140318509003454,10
KRBA2,0.7000364259300834,2.2265473435655516,10
AP003108.1,0.6995622240219839,0.21974697988543127,10
FMO3,0.6991806428585414,1.4614861847630694,10
BTBD11,0.6980611094835961,1.799644181048829,10
LRP5,0.6980016658155244,44.26545971113568,10
ATP6V1C1,0.6974262273123619,72.25079373674178,10
AC009163.7,0.6966479369603547,1.2052409733615237,10
ACOT13,0.6950704511302905,15.044894464655556,10
PCMT1,0.6950241886607744,101.38943336211656,10
ITIH3,0.6949337391357157,0.41122033830866506,10
OXCT1,0.6947778817036445,36.81579238028106,10
BZW2,0.6946794751731344,86.31492863060602,10
GATD3B,0.693614398347012,1.2816030078815621,10
RNF216P1,0.6926241292017931,3.3249871613563955,10
C11orf42,0.6905769580443691,0.9078185865731853,10
AC096637.2,0.6899129950674585,0.5810046872124999,10
NARS2,0.6880442408949361,15.839836422774479,10
TCERG1L,0.6870683938371952,0.15377660518700387,10
ABCG4,0.6870221138247938,0.10980242917737394,10
DCC,0.6867252262743302,0.025435140311422785,10
HNRNPR,0.6839429269884094,75.45573310117253,10
SLC4A4,0.6828763388608968,0.2066302153240225,10
HNRNPA1,0.6813230562554363,329.41616511264255,10
AC105052.5,0.6812162170340665,1.6607908022353337,10
AL138689.2,0.6808073383221659,0.08121482035600316,10
PROC,0.6804711586308463,1.3987737410133567,10
NLRP11,0.6796924378118955,0.037189564808081395,10
AL512343.2,0.6782448875454914,0.7696970841028008,10
ACBD3,0.6782136440187901,113.181926309673,10
PRIMA1,0.678135709700207,7.8364238182400925,10
C1orf127,0.6774509115820884,0.5018389639695018,10
AC064801.1,0.677262949253939,1.2559909212154172,10
CTSD,0.6769229895860606,322.4792017288729,10
TMEM109,0.6768214531283873,248.6868969780027,10
YWHAB,0.6767987019015523,338.77136479344887,10
ATP6V1FNB,0.6764569217402564,0.5763196689807076,10
HS3ST2,0.6763577994260094,3.9489957911358817,10
DNAJC21,0.6758435257105702,25.2824575015558,10
AQP6,0.675459748128322,0.24299371422832663,10
ADSS2,0.6753994478655029,91.26103445625041,10
AC099518.2,0.6752213882991622,0.2436213721528255,10
Z95118.2,0.6746297271544275,0.3945038602216151,10
CLEC11A,0.6743613375484997,55.04401175888942,10
LYRM4,0.6730686642867816,22.30084675553631,10
GNG3,0.672063709266331,0.5080713420097744,10
CAPN7,0.6714691006518788,35.77539423868929,10
PAIP1,0.6710818813196274,80.25205103377557,10
SPECC1,0.6707035322238989,11.09562379634414,10
WNK2,0.6706241670206358,5.713960598859164,10
TMEM163,0.6704534313383559,1.421590332971279,10
GATC,0.6701526822517927,16.562410960419403,10
LINC00865,0.6694871393877361,2.684977514788858,10
VEGFB,0.6691683643308323,181.62600841920803,10
OSGEPL1-AS1,0.6687244443460004,0.4853315551004213,10
GHITM,0.668573595512621,338.4655827777081,10
LIPC,0.6684558428839861,0.1180795792732028,10
AC119403.1,0.6681368742256908,0.47026437821827605,10
CNEP1R1,0.6676129325939679,8.043460000530098,10
